"","trust_government","health_satisfaction","transport_satisfaction","admin_satisfaction","social_satisfaction","financial_satisfaction","food_markets_satisfaction","non_food_markets_satisfaction"
"547",-2,-2,NA,NA,NA,2,-2,2
"548",1,-1,1,NA,1,1,1,1
"549",1,-1,NA,NA,NA,-1,1,-1
"550",-2,-1,-1,NA,NA,1,-1,-1
"551",1,-1,2,NA,NA,2,2,2
"552",2,NA,-1,NA,NA,2,2,2
"553",-2,NA,0,NA,NA,1,2,2
"554",0,NA,1,1,NA,1,1,1
"555",2,1,-2,1,2,-2,-1,1
"556",0,1,1,NA,NA,1,2,2
"557",-1,1,-2,-1,NA,1,1,1
"558",0,1,NA,NA,NA,1,-1,-1
"559",0,-2,NA,NA,1,1,-1,2
"560",1,2,1,NA,NA,-2,2,2
"561",2,2,1,NA,NA,2,2,2
"562",-2,NA,NA,NA,NA,0,-1,0
"563",2,NA,1,1,NA,2,2,2
"564",-2,NA,NA,2,NA,2,2,2
"565",0,NA,NA,NA,NA,1,2,2
"566",1,0,1,2,-1,1,0,1
"567",1,-2,NA,NA,NA,1,1,0
"568",1,0,NA,NA,NA,0,0,0
"569",1,-2,-2,2,NA,2,-1,-1
"570",1,NA,NA,NA,NA,2,-1,1
"571",-1,NA,1,NA,NA,1,1,0
"572",-1,0,1,0,NA,-2,1,1
"573",-2,NA,NA,NA,NA,2,2,2
"574",-1,NA,-1,NA,2,1,1,0
"575",1,NA,0,NA,NA,0,2,2
"576",-1,NA,0,NA,1,1,-1,-1
"577",1,NA,0,NA,NA,1,-1,-1
"578",1,1,-1,NA,NA,2,2,2
"579",1,NA,0,NA,NA,0,2,2
"580",1,1,NA,2,0,2,-1,-1
"581",-2,0,NA,-2,NA,-2,-2,-2
"582",-2,2,2,2,2,2,2,2
"583",-2,-1,NA,1,NA,2,-2,-2
"584",0,NA,1,NA,NA,2,2,2
"585",1,NA,NA,2,0,-1,2,2
"586",-2,0,NA,NA,NA,2,0,NA
"587",1,1,2,NA,NA,1,1,1
"588",-2,NA,NA,1,NA,-1,0,1
"589",1,NA,NA,NA,2,1,0,0
